benchmark,title,group,code,family,BU,schedule,original_range,step,ak_annual_salary,p50,p65,mu,sigma,ak_percentile,ak_as_percent_of_p50,ak_as_percent_of_p65,ak_diff_from_p50,ak_diff_from_p65,p50_90pct_percentile,p50_95pct_percentile,p65_90pct_percentile,p65_95pct_percentile
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16.0,A,59534,72656.0,73930.0,72656.0,3306.3387778951846,3.612678418061849e-05,0.8193955075974455,0.8052752603814419,-13122.0,-14396.0,0.013993235555632366,0.1359411849422268,0.032107258362124635,0.2318757327441432
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16.0,F,70980,83553.0,84101.0,83553.0,1422.1928181213195,4.761430063779543e-19,0.8495206635309325,0.8439852082614951,-12573.0,-13121.0,2.1149599623939973e-09,0.001654506191645263,1.6180955371610672e-08,0.005064172624637933
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16.0,O,85976,94450.0,95608.0,94450.0,3005.2906631103797,0.002403473348535213,0.9102805717310747,0.8992552924441469,-8474.0,-9632.0,0.0008367268282128479,0.058045413957834864,0.0025869505623462518,0.11403584737687777
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14.0,A,50466,45848.0,48093.0,45848.0,5826.319118033508,0.7859975198693567,1.1007241319141512,1.049341900068617,4618.0,2373.0,0.21566671275475469,0.34699137148179093,0.329923828877581,0.4890697429492148
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14.0,F,60138,55439.0,57560.0,55439.0,5504.509064298027,0.8033543450916292,1.0847598261151896,1.0447880472550382,4699.0,2578.0,0.15692987764227073,0.30727895644093906,0.25450894680988334,0.44530846295037063
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14.0,O,75914,63239.0,69339.0,63239.0,15830.978449890601,0.7883315187301755,1.2004301143281835,1.0948239807323439,12675.0,6575.0,0.3447758113732321,0.42084516661507787,0.47899534845311265,0.5660484717586945
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17.0,A,67995,64781.0,66080.0,64781.0,3371.2198371160475,0.8297971904355513,1.049613312545345,1.028980024213075,3214.0,1915.0,0.027328727394506102,0.1683277133349002,0.05765120546466696,0.27600856902523646
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17.0,E,78000,73816.0,80576.0,73816.0,17543.838413321388,0.5942488011846108,1.0566814782702938,0.9680301826846703,4184.0,-2576.0,0.3369681988669646,0.41668716808598727,0.4705197979661284,0.5618568123385135
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17.0,O,94515,83963.0,91306.0,83963.0,19056.864714351916,0.7101117557371637,1.1256744042018507,1.0351455545090136,10552.0,3209.0,0.3297542383634635,0.4128203394383445,0.4626326383723516,0.5579439806133958
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22.0,A,95326,72627.0,81088.0,72627.0,21958.345682708914,0.8493687906524299,1.3125421675134592,1.1755870165745856,22699.0,14238.0,0.3704170584191399,0.4343246195331554,0.5063985442632222,0.5795255859180966
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22.0,E,108867,92939.0,102386.0,92939.0,24517.254658379756,0.7420456520598425,1.1713812285477572,1.063299669876741,15928.0,6481.0,0.352315756735899,0.424835610152322,0.48712140276488036,0.5700559067512727
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22.0,O,131893,111853.0,120158.0,111853.0,21553.48787317073,0.8237574747251057,1.17916372381608,1.0976630769486841,20040.0,11735.0,0.30189590418625883,0.39763333323248046,0.4316531084062637,0.5424376051640084
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10.0,A,39410,39943.0,43463.0,39943.0,9135.253138297527,0.4767367524896192,0.9866559847783091,0.9067482686422934,-533.0,-4053.0,0.33096857568646754,0.4134729950633451,0.4639641013589204,0.5586053981209523
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10.0,F,45786,48626.0,49846.0,48626.0,3166.1956899781203,0.1848659920763855,0.9415950314646485,0.9185491313244794,-2840.0,-4060.0,0.06229539902507679,0.22127533197867544,0.11722024828891775,0.34390136476548905
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10.0,O,57798,55857.0,62368.0,55857.0,16897.62306348159,0.5457252151897068,1.034749449487083,0.9267252437147255,1941.0,-4570.0,0.37048794670573065,0.43436154708126773,0.5064734058929744,0.5795622749845759
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14.0,A,50466,48846.0,54912.0,48846.0,15742.740209350228,0.5409806469098604,1.0331654587888466,0.9190340909090909,1620.0,-4446.0,0.37817540643027797,0.4383561932393988,0.5145629718469936,0.5835236948551048
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14.0,F,60138,56970.0,64388.0,56970.0,19251.507892014506,0.5653542660966189,1.055608214849921,0.9339939119090513,3168.0,-4250.0,0.3836437282690519,0.4411862068900799,0.520282873900913,0.586321287617817
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14.0,O,75914,66177.0,74548.0,66177.0,21724.773869513807,0.6729948436965209,1.1471357118031944,1.018323764554381,9737.0,1366.0,0.3803295567711484,0.43947213221808384,0.5168196272529524,0.5846277271774873
11,Accountant 2,Administrative and Office Support,PB0212,PB02 ‐ Accounting and Fiscal,GP,200,16.0,A,57974,70835.0,72003.0,70835.0,3031.243086798725,1.103672869183584e-05,0.8184372132420413,0.8051608960737747,-12861.0,-14029.0,0.009724010768667742,0.1213196964178152,0.02329317370005483,0.2111722007326184
11,Accountant 2,Administrative and Office Support,PB0212,PB02 ‐ Accounting and Fiscal,GP,200,16.0,F,69147,80779.0,81454.0,80779.0,1751.7885989633041,1.5676645353087295e-11,0.8560021787840899,0.8489085864414271,-11632.0,-12307.0,2.001467462520969e-06,0.010566078318724716,1.0020141982722792e-05,0.026216561609595006
11,Accountant 2,Administrative and Office Support,PB0212,PB02 ‐ Accounting and Fiscal,GP,200,16.0,O,87399,89020.0,89748.0,89020.0,1889.336444511534,0.19545363620876094,0.9817906088519434,0.973826714801444,-1621.0,-2349.0,1.2282512059476703e-06,0.009240100514890935,6.358501985634013e-06,0.023306534056455816
12,Accountant 4,Administrative and Office Support,PB0214,PB02 ‐ Accounting and Fiscal,SS,200,20.0,A,83470,73896.0,80664.0,73896.0,17564.600352272064,0.7071485515912247,1.1295604633539027,1.0347862739264109,9574.0,2806.0,0.3369834916985463,0.41669533929930264,0.4705364604155319,0.5618650657337745
12,Accountant 4,Administrative and Office Support,PB0214,PB02 ‐ Accounting and Fiscal,SS,200,20.0,E,95326,95855.0,98960.0,95855.0,8058.227555231199,0.4738293587364227,0.9944812477179072,0.9632780921584478,-529.0,-3634.0,0.11711567003297735,0.27600035407076107,0.1996866123279885,0.409547027077398
12,Accountant 4,Administrative and Office Support,PB0214,PB02 ‐ Accounting and Fiscal,SS,200,20.0,O,115502,110692.0,115042.0,110692.0,11289.304304430183,0.6649704866621454,1.0434539081415097,1.003998539663775,4810.0,460.0,0.16341887348162565,0.31197791998621244,0.263133459668215,0.45057956903440693
13,Payroll Manager,Administrative and Office Support,PB0230,PB02 ‐ Accounting and Fiscal,KK,200,22.0,A,92331,85415.0,96220.0,85415.0,28041.59379525704,0.5974041113557063,1.0809693847684834,0.9595822074412804,6916.0,-3889.0,0.3803349953543692,0.43947494779229646,0.5168253190276197,0.5846305112642148
13,Payroll Manager,Administrative and Office Support,PB0230,PB02 ‐ Accounting and Fiscal,KK,200,22.0,F,109387,106880.0,114348.0,106880.0,19381.270010456232,0.551460313264263,1.0234562125748503,0.9566148948822891,2507.0,-4961.0,0.2906591043406219,0.3913776779603887,0.4189142654520739,0.5359852520074088
13,Payroll Manager,Administrative and Office Support,PB0230,PB02 ‐ Accounting and Fiscal,KK,200,22.0,O,132517,127458.0,137614.0,127458.0,26357.281497883432,0.5761051509425503,1.0396915062216574,0.9629616172773119,5059.0,-5097.0,0.3143427154126647,0.40447184221571497,0.44559858207070135,0.5494474572533291
14,Payroll Specialist 1,Administrative and Office Support,PB0231,PB02 ‐ Accounting and Fiscal,KK,200,16.0,A,61464,64678.0,69807.0,64678.0,13310.998109752278,0.4046014499692323,0.9503076780358082,0.8804847651381666,-3214.0,-8343.0,0.3135194065806947,0.40402226906401856,0.4446814037546401,0.548988011452733
14,Payroll Specialist 1,Administrative and Office Support,PB0231,PB02 ‐ Accounting and Fiscal,KK,200,16.0,F,73278,75668.0,80407.0,75668.0,12298.853585906812,0.42295990120101346,0.9684146534862822,0.9113385650503065,-2390.0,-7129.0,0.269196686282252,0.3791849251490642,0.3941742020150455,0.5232978466893826
14,Payroll Specialist 1,Administrative and Office Support,PB0231,PB02 ‐ Accounting and Fiscal,KK,200,16.0,O,88754,87015.0,90719.0,87015.0,9612.777734163079,0.5717789460393696,1.0199850600471183,0.9783397083301183,1739.0,-1965.0,0.18267934638813038,0.32541814474669883,0.2882812007420702,0.46551609030890506
15,Budget Analyst 2,Administrative and Office Support,PB0243,PB02 ‐ Accounting and Fiscal,GP,200,19.0,A,71526,79602.0,81746.0,79602.0,5564.199638781221,0.07333123789233274,0.8985452626818422,0.874978592224696,-8076.0,-10220.0,0.07627100079322899,0.2372102899818656,0.13922194333141685,0.36345059500273846
15,Budget Analyst 2,Administrative and Office Support,PB0243,PB02 ‐ Accounting and Fiscal,GP,200,19.0,F,84767,92267.0,95367.0,92267.0,8045.251343387027,0.175609629186255,0.9187141664950632,0.8888504409282036,-7500.0,-10600.0,0.1257217203507205,0.2831784100182858,0.21183743384238807,0.4178601526417193
15,Budget Analyst 2,Administrative and Office Support,PB0243,PB02 ‐ Accounting and Fiscal,GP,200,19.0,O,106763,97743.0,105512.0,97743.0,20162.437963475422,0.6726947827236919,1.0922828233223862,1.0118564713018425,9020.0,1251.0,0.3139170267647611,0.40423943952209157,0.445124450742129,0.549209975354003
16,Budget Analyst 4,Administrative and Office Support,PB0245,PB02 ‐ Accounting and Fiscal,SS,200,22.0,A,95326,107495.0,114285.0,107495.0,17621.695684386425,0.2449181595238457,0.8867947346388204,0.8341077131732073,-12169.0,-18959.0,0.2709259110179139,0.3801802059542759,0.3961879438774063,0.5243390734484115
16,Budget Analyst 4,Administrative and Office Support,PB0245,PB02 ‐ Accounting and Fiscal,SS,200,22.0,E,108867,122640.0,127951.0,122640.0,13783.332220880162,0.15883670729766852,0.8876956947162427,0.8508491531914562,-13773.0,-19084.0,0.1867946116869742,0.32820137274424566,0.29357113026501014,0.46858363460906016
16,Budget Analyst 4,Administrative and Office Support,PB0245,PB02 ‐ Accounting and Fiscal,SS,200,22.0,O,131893,138214.0,141054.0,138214.0,7370.48832749005,0.19555409409078128,0.9542665721272808,0.9350532420207863,-6321.0,-9161.0,0.030380178897952602,0.17422046688425935,0.06320080953177047,0.28380896136820355
17,Human Resource Technician 2,Administrative and Office Support,PB0303,PB03 ‐ Personnel and Employee Relations,KK,200,14.0,A,53560,52005.0,56026.0,52005.0,10435.469565083624,0.5592275326846065,1.029900971060475,0.9559847213793596,1555.0,-2466.0,0.3091192348880217,0.4016130096400168,0.43976698332284303,0.5465225143837165
17,Human Resource Technician 2,Administrative and Office Support,PB0303,PB03 ‐ Personnel and Employee Relations,KK,200,14.0,F,63773,62321.0,67476.0,62321.0,13378.474411341975,0.5432133707710992,1.0232987275557195,0.9451212282885767,1452.0,-3703.0,0.3206684539248928,0.40791362881359583,0.45262105096471256,0.5529583713267405
17,Human Resource Technician 2,Administrative and Office Support,PB0303,PB03 ‐ Personnel and Employee Relations,KK,200,14.0,O,77272,72945.0,77756.0,72945.0,12485.711036462899,0.635537604733001,1.0593186647474124,0.9937753999691342,4327.0,-484.0,0.279533516399044,0.3850997618458653,0.4061579551937091,0.5294711441754713
18,Payroll Services Supervisor,Administrative and Office Support,PB0305,PB03 ‐ Personnel and Employee Relations,KK,200,17.0,A,65832,68879.0,72973.0,68879.0,10624.922258008544,0.3871409367660509,0.9557630046893828,0.902141888095597,-3047.0,-7141.0,0.25840268229826524,0.37291646057419725,0.38152071744033766,0.5167170101599131
18,Payroll Services Supervisor,Administrative and Office Support,PB0305,PB03 ‐ Personnel and Employee Relations,KK,200,17.0,F,78374,82266.0,87435.0,82266.0,13414.807804505659,0.38585948171909346,0.9526900542143778,0.8963687310573569,-3892.0,-9061.0,0.2698562853599807,0.3795648493991641,0.3949427587939599,0.5236954272975278
18,Payroll Services Supervisor,Administrative and Office Support,PB0305,PB03 ‐ Personnel and Employee Relations,KK,200,17.0,O,94952,99296.0,104625.0,99296.0,13830.046583519183,0.37672302889581044,0.956252014179826,0.9075459976105137,-4344.0,-9673.0,0.23638696822993283,0.35980259474034176,0.3552500295876415,0.5028196783713976
19,Human Resource Consultant 1,Administrative and Office Support,PB0311,PB03 ‐ Personnel and Employee Relations,KK,200,16.0,A,61464,69018.0,70659.0,69018.0,4258.792727257455,0.038052908762284905,0.8905502912283753,0.8698679573727338,-7554.0,-9195.0,0.052551713368471656,0.20888387060314267,0.10136507899888902,0.32843250767032944
19,Human Resource Consultant 1,Administrative and Office Support,PB0311,PB03 ‐ Personnel and Employee Relations,KK,200,16.0,F,73278,80933.0,87508.0,80933.0,17063.718575087,0.32685555355996476,0.9054155906737672,0.83738629611007,-7655.0,-14230.0,0.3176434495479644,0.40627045891875874,0.4492682578447602,0.5512836213386486
19,Human Resource Consultant 1,Administrative and Office Support,PB0311,PB03 ‐ Personnel and Employee Relations,KK,200,16.0,O,88754,96546.0,103167.0,96546.0,17183.099724053387,0.3251055942980225,0.9192923580469413,0.8602944740081615,-7792.0,-14413.0,0.28710365043843733,0.38938088909790736,0.4148534054999743,0.5339175727992469
20,Human Resource Consultant 5,Administrative and Office Support,PB0315,PB03 ‐ Personnel and Employee Relations,KK,200,22.0,A,92331,96179.0,102872.0,96179.0,17369.957174609473,0.4123391418659117,0.95999126628474,0.8975328563651916,-3848.0,-10541.0,0.2898890393105955,0.39094593343945677,0.4180359781713585,0.5355385131932978
20,Human Resource Consultant 5,Administrative and Office Support,PB0315,PB03 ‐ Personnel and Employee Relations,KK,200,22.0,F,109387,118333.0,126324.0,118333.0,20738.581769356686,0.33309971522872295,0.9243997870416536,0.8659241315981128,-8946.0,-16937.0,0.28413761211281385,0.38770840088362546,0.4114544875802182,0.5321826725107532
20,Human Resource Consultant 5,Administrative and Office Support,PB0315,PB03 ‐ Personnel and Employee Relations,KK,200,22.0,O,132517,139199.0,145717.0,139199.0,16915.78976006343,0.34641570591771315,0.9519967815860746,0.9094134521023628,-6682.0,-13200.0,0.20528416943084865,0.3403724188683855,0.3169996208328862,0.48189722916644373
21,Labor Relations Analyst 2,Administrative and Office Support,PB0322,PB03 ‐ Personnel and Employee Relations,KK,200,20.0,A,80787,78938.0,80968.0,78938.0,5268.3420087340855,0.6371924368046578,1.0234234462489549,0.9977645489576129,1849.0,-181.0,0.06702166891471785,0.22687644667349405,0.12475142843656689,0.3508159014995953
21,Labor Relations Analyst 2,Administrative and Office Support,PB0322,PB03 ‐ Personnel and Employee Relations,KK,200,20.0,F,95784,89124.0,89594.0,89124.0,1219.7639133522266,0.9999999762030566,1.074727346169382,1.069089447954104,6660.0,6190.0,1.3693234056002635e-13,0.0001294306381835339,1.7029172133674968e-12,0.0005058091065180759
21,Labor Relations Analyst 2,Administrative and Office Support,PB0322,PB03 ‐ Personnel and Employee Relations,KK,200,20.0,O,116085,100747.0,103877.0,100747.0,8123.108614452062,0.9705000036226391,1.1522427466822833,1.117523609653725,15338.0,12208.0,0.10744113897287982,0.267587452460334,0.1858045398243116,0.39972017894547424
22,Labor Relations Manager,Administrative and Office Support,PB0325,PB03 ‐ Personnel and Employee Relations,XE,N00,24.0,A,102297,107520.0,115226.0,107520.0,19998.937694238848,0.3969830688157313,0.9514229910714286,0.8877944213979484,-5223.0,-12929.0,0.29541675572627446,0.39403630263558426,0.4243254210659996,0.5387321639229685
22,Labor Relations Manager,Administrative and Office Support,PB0325,PB03 ‐ Personnel and Employee Relations,XE,N00,24.0,F,121329,132305.0,143462.0,132305.0,28955.119109086794,0.3523181596290427,0.9170401723290881,0.8457222121537411,-10976.0,-22133.0,0.32386021552255584,0.40964213011095163,0.45614803371217955,0.5547172949218866
22,Labor Relations Manager,Administrative and Office Support,PB0325,PB03 ‐ Personnel and Employee Relations,XE,N00,24.0,O,147011,157968.0,169197.0,157968.0,29141.976559642877,0.3534633356903565,0.93063785070394,0.8688747436420268,-10957.0,-22186.0,0.29388740245608014,0.39318331839359955,0.4225888266298966,0.5378516113397298
23,Retirement and Benefits Technician 2,Administrative and Office Support,PB0333,PB03 ‐ Personnel and Employee Relations,GP,200,14.0,A,50466,53801.0,58119.0,53801.0,11206.256548627478,0.38300362250399433,0.9380123046040036,0.8683218912920043,-3335.0,-7653.0,0.3155788981820581,0.40514615865937514,0.4469743235118544,0.5501362159746329
23,Retirement and Benefits Technician 2,Administrative and Office Support,PB0333,PB03 ‐ Personnel and Employee Relations,GP,200,14.0,F,60138,66075.0,71724.0,66075.0,14660.52414154623,0.34275159802072164,0.9101475595913734,0.8384641124309854,-5937.0,-11586.0,0.32610284767979303,0.4108534792476567,0.4586197106915287,0.5559482586910238
23,Retirement and Benefits Technician 2,Administrative and Office Support,PB0333,PB03 ‐ Personnel and Employee Relations,GP,200,14.0,O,75914,78847.0,81948.0,78847.0,8047.846585755861,0.3577627503571962,0.9628013748145142,0.9263679406452873,-2933.0,-6034.0,0.1636102200820016,0.3121150835671962,0.26338657571559937,0.4507330480946229
24,Retirement and Benefits Specialist 1,Administrative and Office Support,PB0341,PB03 ‐ Personnel and Employee Relations,GP,200,16.0,A,57974,65933.0,66346.0,65933.0,1071.8350983286587,5.6142306936480544e-14,0.8792865484658668,0.8738130407258915,-7959.0,-8372.0,3.839790540404285e-10,0.0010500228496391397,3.22552546167461e-09,0.0033676928916107074
24,Retirement and Benefits Specialist 1,Administrative and Office Support,PB0341,PB03 ‐ Personnel and Employee Relations,GP,200,16.0,F,69147,75293.0,78405.0,75293.0,8076.394251813041,0.22333356354989192,0.9183722258377273,0.8819207958676105,-6146.0,-9258.0,0.17560106490203659,0.32056120998461074,0.27911530637892,0.46014215325268437
24,Retirement and Benefits Specialist 1,Administrative and Office Support,PB0341,PB03 ‐ Personnel and Employee Relations,GP,200,16.0,O,87399,85105.0,90807.0,85105.0,14798.07198709446,0.5615973016378516,1.0269549380177427,0.9624698536456441,2294.0,-3408.0,0.2826088908996971,0.3868439457142453,0.40969862827994685,0.5312848711441606
25,Alaska Marine Highway System Dispatcher,Administrative and Office Support,PB0351,PB03 ‐ Personnel and Employee Relations,KK,200,15.0,A,57346,56544.0,56859.0,56544.0,817.5013461828753,0.8367130331052326,1.0141836445953594,1.0085650468703284,802.0,487.0,2.3116586998181535e-12,0.0002717545445848456,2.517496516300841e-11,0.0009930986117174501
25,Alaska Marine Highway System Dispatcher,Administrative and Office Support,PB0351,PB03 ‐ Personnel and Employee Relations,KK,200,15.0,F,68286,60425.0,61979.0,60425.0,4033.0066411688513,0.9743622066060766,1.1300951592883741,1.1017602736410719,7861.0,6307.0,0.0670326156085493,0.2268891483422137,0.12476875950668276,0.3508315279633465
25,Alaska Marine Highway System Dispatcher,Administrative and Office Support,PB0351,PB03 ‐ Personnel and Employee Relations,KK,200,15.0,O,82722,64301.0,68165.0,64301.0,10028.016513176604,0.9668916196292723,1.286480770127992,1.213555343651434,18421.0,14557.0,0.26069197582832504,0.37425420265227016,0.3842165357456814,0.5181247580607372
26,GIS Analyst 2,Administrative and Office Support,PB0496,PB04 ‐ Information Technology,GP,200,17.0,A,62069,67435.0,69497.0,67435.0,5351.38976453679,0.1579955330934013,0.9204270779268926,0.893117688533318,-5366.0,-7428.0,0.10380944142415532,0.26432440241670196,0.1805288459014769,0.3958839763532819
26,GIS Analyst 2,Administrative and Office Support,PB0496,PB04 ‐ Information Technology,GP,200,17.0,F,74003,78318.0,80102.0,78318.0,4629.912386000792,0.17567263517528103,0.9449041088893996,0.9238595790367282,-4315.0,-6099.0,0.04536442583107636,0.19883697693232022,0.08934861909053687,0.31571030085521234
26,GIS Analyst 2,Administrative and Office Support,PB0496,PB04 ‐ Information Technology,GP,200,17.0,O,93386,89991.0,94497.0,89991.0,11694.162113968368,0.6142126728038876,1.0377259948217044,0.9882430130057038,3395.0,-1111.0,0.22078705140161836,0.3502043179598851,0.3362390550629105,0.4925344440139459
27,Statistical Technician 2,Administrative and Office Support,PB0503,PB05 ‐ Statistics and Research Analysis,GP,200,14.0,A,50466,64028.0,64463.0,64028.0,1128.9304304430182,1.5155548940581994e-33,0.7881864184419316,0.7828676915439865,-13562.0,-13997.0,7.0750294818780005e-09,0.002285685647059775,5.053916927194501e-08,0.0067608093617069565
27,Statistical Technician 2,Administrative and Office Support,PB0503,PB05 ‐ Statistics and Research Analysis,GP,200,14.0,F,60138,72794.0,74232.0,72794.0,3731.9585263840468,0.0003478745065715423,0.8261395169931588,0.8101357904946653,-12656.0,-14094.0,0.025554848635673096,0.16471099396803263,0.05438247215935125,0.27118787187344345
27,Statistical Technician 2,Administrative and Office Support,PB0503,PB05 ‐ Statistics and Research Analysis,GP,200,14.0,O,75914,80930.0,81584.0,80930.0,1697.2885092177792,0.001561815994098622,0.9380205115531941,0.9305010786428711,-5016.0,-5670.0,9.294261195504611e-07,0.008560550499453867,4.903057508198155e-06,0.021793428262919298
28,Research Analyst 1,Administrative and Office Support,PB0511,PB05 ‐ Statistics and Research Analysis,GP,200,13.0,A,47307,59959.0,62407.0,59959.0,6353.153318906917,0.023215607633957278,0.7889891425807635,0.7580399634656368,-12652.0,-15100.0,0.17264422088285503,0.31850487324029364,0.2752606541463253,0.45785888018947474
28,Research Analyst 1,Administrative and Office Support,PB0511,PB05 ‐ Statistics and Research Analysis,GP,200,13.0,F,55985,69469.0,69672.0,69469.0,526.8342008734086,8.80752424398786e-145,0.8058990341015417,0.8035509243311517,-13484.0,-13687.0,5.2736561367581696e-40,2.1542478524997208e-11,4.936035768162035e-38,2.377156825310685e-10
28,Research Analyst 1,Administrative and Office Support,PB0511,PB05 ‐ Statistics and Research Analysis,GP,200,13.0,O,70844,77654.0,79031.0,77654.0,3573.6487418851407,0.02835006270532385,0.9123032940994669,0.8964077387354329,-6810.0,-8187.0,0.014891619438406672,0.13863321148490004,0.03391212127133289,0.2356313274864661
29,Research Analyst 2,Administrative and Office Support,PB0512,PB05 ‐ Statistics and Research Analysis,GP,200,16.0,A,57974,70540.0,72737.0,70540.0,5701.747484329451,0.01376619016976257,0.8218599376240431,0.79703589644885,-12566.0,-14763.0,0.10801299517920226,0.2680957867865306,0.18663197091346728,0.4003165474135598
29,Research Analyst 2,Administrative and Office Support,PB0512,PB05 ‐ Statistics and Research Analysis,GP,200,16.0,F,69147,80446.0,81064.0,80446.0,1603.8597839397364,9.281058470129945e-13,0.8595455336499018,0.852992697128195,-11299.0,-11917.0,2.6410040567517867e-07,0.006072765425443189,1.5134448572231658e-06,0.016103456743383846
